experiment,n_seeds,main.mrr__mean,main.mrr__std,main.mrr__ci95,main.recall@1__mean,main.recall@1__std,main.recall@1__ci95,main.recall@5__mean,main.recall@5__std,main.recall@5__ci95,main.recall@10__mean,main.recall@10__std,main.recall@10__ci95,main.n_eval__mean,main.n_eval__std,main.n_eval__ci95,domain.top1__mean,domain.top1__std,domain.top1__ci95,domain.top5__mean,domain.top5__std,domain.top5__ci95,domain.n_eval__mean,domain.n_eval__std,domain.n_eval__ci95,func.masked_mae__mean,func.masked_mae__std,func.masked_mae__ci95,func.n_eval__mean,func.n_eval__std,func.n_eval__ci95
short_e20,1,0.04781453551587349,0.0,0.0,0.00615530303030303,0.0,0.0,0.05965909090909091,0.0,0.0,0.13210227272727273,0.0,0.0,2112.0,0.0,0.0,0.416116767906306,0.0,0.0,0.634444784337718,0.0,0.0,22883.0,0.0,0.0,4.142840697894409,0.0,0.0,46.0,0.0,0.0
long_e100,1,0.02767897079474164,0.0,0.0,0.007102272727272727,0.0,0.0,0.03125,0.0,0.0,0.050189393939393936,0.0,0.0,2112.0,0.0,0.0,0.45994843333479,0.0,0.0,0.6286326093606608,0.0,0.0,22883.0,0.0,0.0,4.097888566150285,0.0,0.0,46.0,0.0,0.0
baseline_e50,1,0.015852199546306664,0.0,0.0,0.004734848484848485,0.0,0.0,0.014678030303030304,0.0,0.0,0.024147727272727272,0.0,0.0,2112.0,0.0,0.0,0.4614779530655945,0.0,0.0,0.632216055587117,0.0,0.0,22883.0,0.0,0.0,4.100740003449965,0.0,0.0,46.0,0.0,0.0
